Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact
S06779,Stephanie Thompson,2018-06-14,Grade 3,290-847-3146
S06780,Tina Higgins,2018-06-10,Grade 5,485-711-4909x49834
S06781,Valerie Mcdonald,2015-11-10,Grade 2,3337309842
S06782,Paul Williams,2008-02-11,Grade 4,(285)851-8082x20138
S06783,Christina Thomas,2014-02-21,Grade 2,205.326.8262x749
S06784,Robert Walker,2009-08-23,Grade 2,(724)285-9673x734
S06785,Michelle Jacobson,2006-03-29,Grade 4,5013169167
S06786,monica ford,2014-12-06,Grade 1,001-922-526-7226x5232
S06787,Jeffery Burke,2019-01-30,Grade 4,412-845-2524x9558
S06788,Clarence Daniels,2015-12-28,Grade 5,224.300.7889
S06789,Daniel Dyer,2017-05-13,Grade 3,7605460633
S06790,Michael Blake,2007-02-11,Grade 5,565-883-0023x2468
S06791,Scott Turner Jr.,2009-12-15,Grade 3,538.656.1467x5702
S06792,Diane Medina,2007-03-07,Grade 5,587-597-7751
S06793,Kyle Baldwin,2014-02-19,Grade 3,(377)604-5498x595
S06794,Katherine Jacobs,2007-05-16,Grade 2,914-487-5501x3188
S06795,cody campbell,2012-02-06,Grade 3,752-287-9848x114
S06796,Martin Coleman,2011-11-02,Grade 1,+1-982-285-8123
S06797,Carlos Cooper,2016-10-14,Grade 3,488.705.8815
S06798,Charles Rhodes,2009-05-26,Grade 4,001-201-702-0516
S06799,Daniel Villegas,2017-06-23,Grade 4,
S06800,Amy Smith,2016-09-20,Grade 2,001-420-698-5323x897
S06801,Joyce Buck,2008-01-31,Grade 3,001-460-206-8025x74715
S06802,Jessica Alvarado,2009-06-19,Grade 2,588-632-5955x7691
S06803,Nathan Sanchez,2012-02-16,Grade 5,(351)703-4261x590
S06804,Corey Gray,02-25-2010,Grade 2,2336158153
S06805,Nathan Lopez,2016-07-12,Grade 2,940-971-2962x6795
S06806,Katherine Craig,2007-08-07,Grade 1,612.799.6583x6653
S06807,richard christian md,2017-09-15,Grade 5,829-722-3958x3076
S06808,Luis Stanley,2015-01-26,Grade 1,(750)211-9176x0008
S06809,Shannon Hester,2016-08-23,Grade 4,776-881-8502x4760
S06810,angela howard,2015-09-29,Grade 3,530-366-7746
S06811,hannah kelly,2006-10-06,Grade 5,611-270-3862
S06812,Victoria Martin,2008-03-12,Grade 2,441-400-5513x3508
S06813,Allison Martinez,2011-10-31,Grade 2,001-756-484-9504
S06814,Ryan Mitchell,2008-06-08,Grade 1,227.446.8115
S06815,Lawrence Mitchell,2018-09-10,Grade 2,(667)756-7765x61281
S06816,Lindsay Compton,2007-12-31,Grade 5,(422)756-7135
S06817,Jacqueline Harvey,2007-07-09,Grade 2,+1-738-386-5868x5469
S06818,Stephanie Davis,2012-06-25,Grade 2,2753283085
S06819,Craig Lucas,2016-03-01,Grade 3,+1-560-484-3500x459
S06820,Jeremy Crosby,2012-07-08,Grade 1,
S06821,Stephen Jackson,09-04-2008,Grade 1,001-420-696-0738
S06822,Erin Ingram,07-16-2013,Grade 3,+1-218-607-5857x74120
S06823,Alexander Thomas,2008-08-11,Grade 3,478.560.1272x67156
S06824,David Mills,2017-04-03,Grade 4,+1-396-315-4905
S06825,Kelly Fisher,02-20-2010,Grade 4,874-629-6133x84161
S06826,Kelly Osborne,2012-02-07,Grade 2,+1-780-690-2044x2453
S06827,James Robertson,2006-08-26,Grade 4,+1-355-211-5338x2643
S06828,David Schultz,2007-07-15,Grade 5,+1-320-467-7306x8752
S06829,Jennifer Young,2011-08-23,Grade 3,(634)304-2040x6100
S06830,Rebecca Trevino,2014-03-04,Grade 1,404-254-2863x2336
S06831,Julia Escobar,06-04-2009,Grade 5,
S06832,Christopher George,2009-01-01,Grade 4,001-611-573-2332x9215
S06833,Janet Rogers,2012-07-30,Grade 2,5485453994
S06834,Javier Young,2008-01-24,Grade 2,700.360.5278
S06835,Greg Huerta,2007-09-19,Grade 5,298.917.8426
S06836,Joel Hall,2016-02-12,Grade 1,+1-906-874-6196x849
S06837,Lauren Sanders,2010-06-28,Grade 5,268-705-8332
S06838,Elizabeth Thomas,2009-03-14,Grade 5,3086510722
S06839,Andrew Guerrero,2011-03-06,Grade 1,+1-266-827-5970x5330
S06840,Michael White,2014-04-22,Grade 3,(297)317-9362
S06841,Kenneth Mills,2006-10-11,Grade 4,(211)863-3391
S06842,Sarah Richards,2016-06-23,Grade 4,3499255711
S06843,Rebecca Flynn,2019-01-13,Grade 2,558-419-6040
S06844,Jamie Jones,2013-06-09,Grade 4,924-460-2661x249
S06845,adrienne ball,2014-01-06,Grade 5,(318)768-6368
S06846,Gina Williams,2017-08-16,Grade 4,972-777-9037x30689
S06847,Charles Graves,11-29-2009,Grade 1,001-724-419-9968x5698
S06848,Theodore Mcmahon,2007-01-25,Grade 5,7718426331
S06849,Paul Ellis,2006-08-24,Grade 3,558.440.3130
S06850,David Franklin Jr.,2012-01-13,Grade 5,001-459-617-6966x773
S06851,Charles Sutton,2007-02-14,Grade 1,290.603.0613
S06852,Allison White,2014-05-20,Grade 4,(469)248-2654x63023
S06853,Pamela Nguyen,2018-05-10,Grade 5,7546004104
S06854,Matthew Cruz,2015-11-27,Grade 5,874-474-6267
S06855,brittney andersen,2017-07-21,Grade 2,887.447.8043x393
S06856,Cassandra Quinn,2014-03-11,Grade 3,(326)290-3602x391
S06857,Melissa Thomas,2018-10-03,Grade 5,001-411-787-7280x83093
S06858,Matthew Koch,2014-12-26,Grade 5,8538696306
S06859,Heather Smith,2011-04-10,Grade 3,253-726-4610
S06860,Eric Glover,2010-12-20,Grade 1,2124720624
S06861,Anthony Castillo,2007-04-21,Grade 4,352.683.5937x327
S06862,Ian Figueroa,2016-10-01,Grade 3,001-486-529-4655
S06863,Katie Moore,2012-09-27,Grade 2,206-589-4446
S06864,Mario Wang,2011-02-05,Grade 3,+1-482-888-5015x668
S06865,Nathan Ross MD,03-14-2012,Grade 2,(421)781-4207
S06866,Kristen Haley,2016-08-05,Grade 1,
S06867,Kevin Thompson,2012-09-03,Grade 3,+1-539-824-0821x80220
S06868,Daniel Thomas,2019-02-13,Grade 4,(979)582-8976x221
S06869,Christina Ibarra,2010-09-15,Grade 5,(277)728-5629
S06870,Marcus Baker,2011-11-21,Grade 1,794.513.8693x6741
S06871,erin clark,11-29-2009,Grade 2,
S06872,Amanda Graham,2010-05-01,Grade 2,(700)390-3602x77832
S06873,Barry Mata,2007-03-27,Grade 1,353.727.4169x49116
S06874,Valerie Ponce,2007-11-02,Grade 2,700.597.9198x8168
S06875,Barbara Kirby,2014-01-19,Grade 5,2374998242
S06876,Stephen Wells,2016-05-13,Grade 2,610.771.2510x007
S06877,Jon Guzman,2013-04-21,Grade 3,(723)355-0452x76961
S06878,Joel Campbell,2010-06-10,Grade 3,001-930-299-6843x752
S06879,Brad Smith,2010-05-18,Grade 4,947.426.2769
S06880,Catherine Dixon,2007-10-26,Grade 4,001-740-409-6357
S06881,Joseph Lawson,2008-07-06,Grade 2,+1-558-282-4539
S06882,Deborah Shaw,2014-06-29,Grade 1,(300)519-4756x541
S06883,Daniel Cross,2006-11-05,Grade 5,786.902.6296x73250
S06884,Jose Blake,2006-10-15,Grade 3,+1-903-870-4848x555
S06885,Lisa Gibson,2014-02-04,Grade 2,744.653.0801
S06886,Raymond Martinez,2013-11-20,Grade 5,700.826.0937x3433
S06887,Leonard Logan,2017-05-14,Grade 1,554.232.1250
S06888,Amanda Bryant,2006-11-18,Grade 5,(319)946-4213x9906
S06889,Angie Rodriguez,2006-11-25,Grade 4,2575013247
S06890,Christopher Mcdonald,2015-11-28,Grade 3,634-779-2891x8965
S06891,Sara Guerrero,2019-02-05,Grade 3,
S06892,Brandon Huang,2007-08-11,Grade 2,001-449-599-7936x9259
S06893,Julia Woodard,2014-05-21,Grade 4,(605)258-1279x43566
S06894,Mary Sherman,2010-02-21,Grade 4,523.425.9952
S06895,Jordan Duncan,2007-09-24,Grade 5,369.412.4092x96608
S06896,Carlos Nguyen,2006-04-19,Grade 3,738.232.3529x5828
S06897,Scott Garza,2015-09-27,Grade 2,670-676-0175
S06898,Louis Calderon,2016-02-01,Grade 5,534.647.4360x311
S06899,Christopher Melendez,2018-06-26,Grade 5,6199009271
S06900,Angie Mcknight,2007-11-25,Grade 2,+1-564-426-6533
S06901,Kenneth Buchanan,2011-04-13,Grade 2,8429327595
S06902,Christian Clay,2006-06-16,Grade 5,5965359631
S06903,Jacob Lee,2019-01-29,Grade 5,(585)276-7750x683
S06904,Mark Lane,2016-07-06,Grade 1,001-563-324-8721
S06905,Jodi Avila,2007-10-07,Grade 3,(788)422-2061x616
S06906,Gail Mcclure,2006-09-21,Grade 4,7988597701
S06907,Angela Pruitt,2014-01-25,Grade 5,212-958-3303x37815
S06908,John Rodriguez,2008-03-27,Grade 3,001-637-263-0337x7098
S06909,Joseph Murphy,2008-07-26,Grade 4,001-888-255-2785x4646
S06910,Scott Bishop,2018-08-17,Grade 2,(755)335-4514
S06911,Aaron Cherry,10-19-2009,Grade 1,704-973-4419x5908
S06912,Karen Hale,2012-06-27,Grade 4,+1-548-897-7436
S06913,Belinda Pearson,2009-10-09,Grade 2,+1-953-881-6182x3135
S06914,Rachel Brooks,2013-12-02,Grade 1,+1-440-935-9908x37028
S06915,erin jimenez,2012-08-14,Grade 5,731.608.9732
S06916,Elizabeth Simon,2014-07-04,Grade 5,319.307.8975x640
S06917,William Vazquez,02-10-2015,Grade 4,8025476775
S06918,Ashley Ochoa,2013-11-08,Grade 5,220.732.0382x91523
S06919,Haley Howell,2016-11-09,Grade 5,715.891.2751x697
S06920,Amanda Colon,04-08-2008,Grade 3,+1-633-564-5913x676
S06921,Donald Medina,2011-03-30,Grade 4,494.836.6448x73998
S06922,Alicia Underwood,2010-12-08,Grade 5,347-706-2599x6730
S06923,James Miller,2015-05-23,Grade 1,620-278-7937x107
S06924,Heidi Rogers,2018-03-23,Grade 1,(342)748-0406x14901
S06925,Hannah Huber,2013-02-26,Grade 3,(572)767-0140
S06926,Brandi Williams,2018-11-19,Grade 2,(916)737-1487x70221
S06927,Douglas Delgado,2014-12-21,Grade 4,(754)711-8407x803
S06928,Jason Grimes,2019-01-14,Grade 4,979-287-1359x78172
S06929,Bruce Taylor,2017-06-21,Grade 3,217-347-9839x97806
S06930,Kari Thompson,2009-06-17,Grade 3,+1-245-556-2597x2831
S06931,Justin Garner,2014-09-12,Grade 3,305-762-5659
S06932,Andrew Cunningham MD,06-27-2009,Grade 2,781.692.7509x262
S06933,Robert Dunn,2014-07-06,Grade 2,+1-456-871-1686
S06934,Jennifer Holden,2017-04-02,Grade 1,(282)277-0590x849
S06935,Dr. Michael Hernandez,2007-10-06,Grade 2,
S06936,Carl Banks,2015-06-26,Grade 2,588-820-1254x67175
S06937,Ryan Shields,2016-12-29,Grade 4,+1-688-768-3010
S06938,Angel Boyer,2007-01-28,Grade 2,9163634016
S06939,Whitney Harvey,2014-07-15,Grade 1,+1-646-389-6628x93414
S06940,Christian Garza,2016-01-27,Grade 5,590.715.9426
S06941,Carmen Cortez,10-22-2014,Grade 1,485-622-7625
S06942,Brian Matthews,2007-06-13,Grade 4,001-299-697-4490x77554
S06943,Matthew Weaver,2017-04-30,Grade 2,001-540-678-5113x6244
S06944,Joshua Brown,2016-10-27,Grade 2,550.594.4724
S06945,Stacey Gomez,2013-04-03,Grade 3,859.653.5952x5527
S06946,howard dalton,2016-08-14,Grade 4,654-839-0468
S06947,edward fleming,2008-10-02,Grade 1,(317)543-2893
S06948,Gregory Hoffman,2012-07-26,Grade 5,307.623.3715x739
S06949,Bianca Riley,2011-11-25,Grade 3,537.693.5229x188
S06950,timothy williams,2008-10-11,Grade 3,482.960.8297x872
S06951,Hunter Miller,2017-04-12,Grade 1,
S06952,Mary James,2007-08-02,Grade 4,001-453-648-9912x26513
S06953,Autumn Graham,2014-12-31,Grade 2,292.640.0030x8080
S06954,Holly Green,2015-11-28,Grade 1,629-711-2781x246
S06955,Dr. Denise Wilson,2013-10-11,Grade 5,547-930-6769
S06956,allen smith,01-28-2014,Grade 2,9572192595
S06957,Michelle Keith,07-13-2013,Grade 4,(411)268-0662
S06958,David Perez,2008-11-19,Grade 1,001-811-268-2261
S06959,Nathaniel Rodriguez,2015-09-02,Grade 2,293.721.5798x18808
S06960,Andrea Kim,2012-07-24,Grade 3,(973)793-3195x850
S06961,patrick turner,05-22-2013,Grade 2,001-997-387-8252x33536
S06962,Gabriel Reed,2010-08-24,Grade 1,910.203.4689x60836
S06963,Jason Rodriguez,2012-05-21,Grade 3,
S06964,jackson carpenter,2010-02-23,Grade 3,(715)321-2634
S06965,Heather Bailey,2010-03-01,Grade 4,524-271-1956
S06966,Sylvia Sweeney,2017-12-26,Grade 2,+1-584-733-0092x5671
S06967,Michele Hatfield,2014-09-24,Grade 2,(504)703-2721x80798
S06968,Darrell Morton,2009-10-26,Grade 1,300-653-6970x42286
S06969,Christina Ortiz,11-08-2008,Grade 1,+1-649-350-6576x32042
S06970,Robert Huff,2010-06-14,Grade 1,001-246-542-2801x65001
S06971,Wendy Alvarez,2012-12-04,Grade 1,485.935.1040x1043
S06972,Amy Morton,2014-10-31,Grade 1,403.723.1516x2356
S06973,Hannah Holland,2014-08-07,Grade 5,001-800-929-2167x926
S06974,Keith Smith,2009-03-21,Grade 4,(877)328-0065x185
S06975,Ryan Johnson,2017-11-07,Grade 1,(314)659-1017x8552
S06976,Ryan Mejia,2008-06-22,Grade 5,570-725-6644
S06977,Joshua Delgado,2009-05-29,Grade 4,001-269-653-1039x1701
S06978,Gary Guzman,2017-01-04,Grade 3,8282058744
S06979,Stacey Hughes,05-27-2012,Grade 3,6993902352
S06980,Jim Holt,2013-02-06,Grade 4,(448)831-2487
S06981,Stacey Gonzales,2011-06-04,Grade 4,586-878-2332x5554
S06982,Lisa Thomas,2013-10-31,Grade 4,(948)394-0176
S06983,Rebecca Reeves,2012-04-21,Grade 5,240.476.3984x40264
S06984,Maxwell Lawson,2007-05-02,Grade 4,6508923268
S06985,Richard Aguirre,2014-03-23,Grade 3,+1-311-979-5535x70578
S06986,Kenneth Snyder,2012-06-29,Grade 1,311-537-3403
S06987,Tiffany Chang,2013-01-29,Grade 2,
S06988,Andrew Evans,2008-01-01,Grade 2,(207)927-2328x3994
S06989,Alexandra Lee,2009-10-08,Grade 3,(610)826-4260x2243
S06990,Jeremy Arias,2014-09-12,Grade 5,
S06991,Traci Coleman,2018-04-21,Grade 4,969-592-2638
S06992,Edward Harris,01-04-2009,Grade 1,(416)618-0619x7323
S06993,Melissa Meyer,2011-03-22,Grade 5,501-530-5331x089
S06994,Paul Obrien,11-10-2017,Grade 3,+1-459-676-9643x171
S06995,Bonnie Mills,11-07-2013,Grade 3,(607)565-5933
S06996,Michael Smith DVM,2014-06-26,Grade 2,3985592506
S06997,Megan Stewart,2015-09-16,Grade 4,683.722.4109
S06998,Steven Brown,2013-09-23,Grade 2,+1-534-387-7067
S06999,Cynthia Walls,01-31-2007,Grade 1,5608669708
S07000,daniel jacobs,2013-12-08,Grade 3,+1-995-881-1622x218
S07001,Eric Taylor,2016-06-17,Grade 4,236.954.3570x476
S07002,Elizabeth Stark,2018-10-21,Grade 2,(549)862-9316x468
S07003,James Terry,2016-10-18,Grade 3,(232)734-1767x8586
S07004,Jennifer Nixon,2011-10-30,Grade 5,856.246.9362x23120
S07005,Paul Woods,2010-05-10,Grade 2,+1-924-705-3919
S07006,Stephanie Wright,2009-02-19,Grade 3,+1-550-985-4048x30781
S07007,Francis Morrison,2009-01-18,Grade 4,430-344-6561x59269
S07008,Lori Nolan,2013-04-19,Grade 5,+1-818-260-8801x11350
S07009,Daniel Green,2018-01-03,Grade 5,7569829893
S07010,hayley clark,2011-03-29,Grade 4,+1-640-599-5522x464
S07011,Robert Graves,2006-11-09,Grade 5,
S07012,Tiffany Martin,2015-03-27,Grade 5,938-461-0346x6105
S07013,Angela Jenkins,2010-07-07,Grade 2,627.789.9688x6969
S07014,Kenneth Brown,2011-02-12,Grade 3,590-204-5648x16389
S07015,Melissa Scott,2010-08-20,Grade 3,630.213.3708x811
S07016,Rebekah Butler,2011-12-29,Grade 3,529-873-5992x21960
S07017,Diana Pruitt,2017-11-23,Grade 5,+1-533-590-2960x98999
S07018,Yvonne Stone,2013-05-21,Grade 3,(360)991-3226
S07019,Madison Cannon,2015-07-04,Grade 3,(873)344-8783
S07020,Robert Harris,2017-10-02,Grade 3,288.434.8603
S07021,Jared Sanchez,2013-10-29,Grade 1,001-889-780-4317x27399
S07022,Amanda Huff,2007-01-11,Grade 3,+1-763-573-2617
S07023,Earl Rose,2007-12-15,Grade 4,(679)904-8608x56332
S07024,Andrea Davies,2012-01-16,Grade 1,001-375-875-4654
S07025,Taylor Wilson,2006-08-02,Grade 1,358.669.7476x4489
S07026,Bradley Scott,2008-09-15,Grade 5,5312611899
S07027,Brent Hawkins,2016-04-29,Grade 2,305-937-7843
S07028,Danielle Reyes,2012-12-29,Grade 5,751.513.2836x0326
S07029,Jennifer Thornton,2017-05-11,Grade 2,001-294-586-6417
S07030,James Marshall,2011-08-21,Grade 4,(295)320-8041x1507
S07031,David Patel,2009-09-01,Grade 5,606.763.1700
S07032,Kevin Gordon,2017-07-10,Grade 3,+1-205-849-0389
S07033,Kelly Martin,2009-01-03,Grade 2,001-437-618-3423x29261
S07034,Kathleen Smith,01-23-2008,Grade 5,+1-480-691-3980x58188
S07035,Brandy Lee,2015-04-22,Grade 5,001-714-681-7077
S07036,Brianna Gonzalez,2012-11-27,Grade 4,(912)455-6085x998
S07037,Jason Hooper MD,2015-06-28,Grade 1,(352)497-8800x4809
S07038,Austin Lawrence,2011-01-30,Grade 3,001-940-399-7028x62909
S07039,Patrick Preston,2012-10-17,Grade 5,971-492-6624
S07040,Wayne Holland,2018-06-28,Grade 5,+1-695-881-6369x31562
S07041,jennifer jennings,11-13-2014,Grade 2,(405)654-3430x65766
S07042,Pamela Skinner,2006-11-30,Grade 4,666.313.7994x98173
S07043,Holly Collins,2013-05-17,Grade 4,595-298-2218x1469
S07044,Nicholas Wright,2009-11-20,Grade 4,001-529-531-2398
S07045,David Payne,2015-09-04,Grade 2,(751)303-9027
S07046,William Rodriguez,2007-10-04,Grade 3,351-958-2942
S07047,beth rowe,2009-11-02,Grade 2,
S07048,Kathryn Jenkins,2016-07-31,Grade 4,+1-637-802-7673x62762
S07049,Megan Gomez,2010-07-28,Grade 5,001-394-623-6713x40906
S07050,Deborah Freeman,2014-03-19,Grade 1,+1-514-476-4984x197
S07051,Jose Williams,2016-07-11,Grade 2,001-281-618-2612x793
S07052,Joyce Howard,2006-08-13,Grade 3,+1-229-371-0330
S07053,bradley brown,2009-12-09,Grade 3,580-916-5892x65332
S07054,Briana Watkins,2013-12-25,Grade 3,+1-979-936-6377x569
S07055,Susan Perez,2017-07-03,Grade 2,397-569-1184
S07056,david madden,2007-09-14,Grade 4,2707496830
S07057,Stephanie Scott,07-30-2017,Grade 1,001-312-527-9433x7234
S07058,Joseph Fletcher,2018-05-13,Grade 1,4752616409
S07059,Ryan Harris,07-08-2016,Grade 5,+1-541-413-6176x537
S07060,Brandon Richardson,2013-03-03,Grade 5,349-617-7421x284
S07061,David Powell,04-22-2018,Grade 2,876.839.3397x1032
S07062,Wendy Carroll,2017-07-09,Grade 1,551.218.9190
S07063,Robert Mills,2016-09-27,Grade 4,488.482.4181
S07064,Theodore Turner,2013-06-24,Grade 3,264-890-7375
S07065,Sarah Cervantes,2013-09-15,Grade 1,549-965-6983x18643
S07066,Lisa Esparza,2017-08-05,Grade 1,+1-367-785-4138
S07067,Stephanie Cook,2013-12-12,Grade 2,(216)569-9179
S07068,James Oconnor,2015-01-18,Grade 2,960-261-3467x0238
S07069,Darryl Henderson,2012-01-03,Grade 5,697-947-3191x640
S07070,Timothy Rose,2010-01-27,Grade 5,+1-410-703-4808x1971
S07071,Angel Clark,2012-06-21,Grade 5,733.249.1517
S07072,Jaime Perry,2017-08-30,Grade 4,
S07073,Jonathan Hines,2016-01-23,Grade 5,795-749-2865x55418
S07074,Grace Watkins,2014-12-25,Grade 1,(394)939-4800x919
S07075,Mr. Joe Watts,2007-01-30,Grade 5,001-583-939-9604x800
S07076,kirsten roberson,2006-10-24,Grade 3,
S07077,Angel Nunez,2008-03-15,Grade 3,+1-346-388-6004
S07078,Jill Herman,2017-01-22,Grade 4,001-743-427-8572x384
S07079,Zachary Briggs,2017-10-29,Grade 4,
S07080,Natalie Clark,2014-07-27,Grade 5,2675136933
S07081,Christy Murphy,2016-10-19,Grade 5,001-501-610-5464
S07082,Jennifer Klein,2013-08-11,Grade 1,001-871-345-0446x42558
S07083,Paul Cole,2013-01-29,Grade 3,001-388-882-3904x213
S07084,Chase Jensen,2013-05-09,Grade 1,001-617-402-8491
S07085,Toni Johnson,2015-02-09,Grade 2,492.517.4801
S07086,David Davis,2012-12-07,Grade 2,(525)707-1572x039
S07087,Alexis Gutierrez,2006-11-05,Grade 3,449.979.5478x7478
S07088,Mrs. Cassandra Butler DVM,10-10-2011,Grade 3,001-685-737-1140x24452
S07089,Shaun Mccullough,2010-01-18,Grade 3,214.372.3343
S07090,jacqueline reynolds,2014-07-27,Grade 5,(396)331-5238
S07091,Corey Jones,2012-06-19,Grade 3,290-898-1976x330
S07092,Allison Chavez,2016-02-07,Grade 4,446.978.7680x62512
S07093,Aaron Taylor,2016-07-31,Grade 5,416-863-2691
S07094,Wendy Gonzalez,2010-08-07,Grade 1,592.498.2020
S07095,Erica Koch,2007-10-02,Grade 4,001-632-481-0988
S07096,Kelly Alvarez,04-30-2014,Grade 2,856-257-6885
S07097,Danny Foster,2018-05-04,Grade 1,289.958.1565
S07098,dr. sharon bailey,2018-09-17,Grade 3,(899)264-8723
S07099,James Williams,2015-02-05,Grade 2,8443818316
S07100,Heidi Lee,2015-08-05,Grade 5,001-575-831-1510x8125
S07101,Julian Lopez,2006-07-12,Grade 1,652.843.7176x4224
S07102,Heather Deleon,2007-05-02,Grade 4,(452)504-7366x80320
S07103,michael flores,2008-05-25,Grade 2,+1-854-515-1738
S07104,Matthew Bailey,2017-12-14,Grade 5,+1-480-863-5829
S07105,Ryan Schmitt,2009-09-12,Grade 3,(306)607-7653x903
S07106,Mary Duke,09-04-2011,Grade 1,2997868594
S07107,Kayla Schwartz,2009-01-30,Grade 5,001-295-950-7748x5377
S07108,Ann Anderson,2018-05-20,Grade 4,900-771-1936x192
S07109,Edward Lamb,2016-07-14,Grade 3,404-314-2983x680
S07110,Dr. Amanda Morales,2017-03-27,Grade 4,795.409.2816
S07111,Phillip Mayer,2011-07-14,Grade 4,001-672-350-7669x8125
S07112,Ronald Austin,2014-12-29,Grade 4,277-832-8825
S07113,Megan Mendez,2006-04-15,Grade 3,444-431-7638x4730
S07114,Julie Collins,2007-08-05,Grade 2,+1-759-851-9583
S07115,Jeremy Goodwin,2015-03-27,Grade 4,(649)763-7010
S07116,Antonio Lewis,2011-06-08,Grade 3,(520)218-2281x247
S07117,Holly Buck,2013-08-17,Grade 1,001-243-669-9447
S07118,Brandon Barnes,2016-04-17,Grade 1,869.743.5261x979
S07119,Julie Mcmillan,2017-11-18,Grade 3,9129115932
S07120,vanessa harrison,2013-11-03,Grade 5,+1-823-930-8440x6748
S07121,Taylor Smith,2008-09-29,Grade 4,+1-639-943-4791x2661
S07122,Paige Mejia,2014-01-24,Grade 3,001-616-820-3032x733
S07123,Adam Wong,2006-03-19,Grade 2,933.207.1597x98134
S07124,Shelley Richardson,2008-02-02,Grade 4,+1-252-743-5366
S07125,William Sosa,03-26-2007,Grade 5,+1-723-848-0282
S07126,Samantha Downs,2008-09-12,Grade 5,001-464-618-5696x914
S07127,Paul Fields,2018-06-23,Grade 1,931.208.9984x6267
S07128,robert norton,2015-07-01,Grade 4,+1-989-383-6534
S07129,Cody Baker,2009-08-08,Grade 1,631.549.9859x277
S07130,Andrea Scott,2018-03-14,Grade 1,+1-819-410-4184
S07131,James Olson,2011-01-30,Grade 4,217-200-9238
S07132,Miss Amanda Sanders,2007-06-05,Grade 2,+1-374-782-2663
S07133,Nicole Howell,2017-08-05,Grade 4,001-887-796-9932x35692
S07134,Michael Mcguire,2017-11-26,Grade 4,996.848.1631x32349
S07135,Stephanie Evans,2013-03-16,Grade 4,569-221-6569
S07136,lindsey mckay,2015-07-28,Grade 1,859.555.0154
S07137,Daniel Franklin,2016-05-16,Grade 2,7395704362
S07138,Rachel White,03-28-2007,Grade 5,001-216-309-0823x7137
S07139,Keith Church,2014-01-14,Grade 5,851-994-0817x030
S07140,Brian Kelly,2014-03-25,Grade 5,001-404-449-4689x7018
S07141,Gregory Bennett,2016-01-15,Grade 1,+1-779-801-0454x4933
S07142,David Smith,2006-03-20,Grade 2,(616)715-0969
S07143,Sara Sutton,2006-11-23,Grade 2,001-737-490-2764x1856
S07144,Adam Allison,2016-07-29,Grade 5,987.457.8733x1815
S07145,Ryan Garcia,2016-11-07,Grade 1,911-495-3028x242
S07146,Jeffrey Blackburn,2010-08-21,Grade 2,(456)417-8548
S07147,Stacy Ray,2009-12-11,Grade 4,+1-536-350-3651x9998
S07148,Alexandra Alvarez,2009-11-23,Grade 1,417-307-7445x1639
S07149,Martha Wong,2006-05-04,Grade 5,001-317-860-4658x40634
S07150,Derek Cohen,2013-03-09,Grade 5,+1-941-588-1451
S07151,Wendy Brennan,2018-09-10,Grade 4,291.508.2804x626
S07152,Brian Roy,2016-09-16,Grade 1,(816)288-9570
S07153,Sarah Brown,2010-08-17,Grade 4,927-735-9220x6002
S07154,Chloe Hernandez,2015-12-27,Grade 1,001-309-955-8130x3256
S07155,Judy Hughes,2012-05-27,Grade 4,739-229-7928x3721
S07156,Michael Nelson,2017-05-14,Grade 1,+1-526-544-3725x222
S07157,Michaela Pugh,2011-06-02,Grade 5,401-724-2939x91531
S07158,Mitchell Martin,2014-05-18,Grade 1,625-834-6215x717
S07159,James Trevino,2014-04-22,Grade 4,001-941-628-3205
S07160,Nicholas Russell,2016-10-28,Grade 2,4475009301
S07161,Carrie Perez,2011-11-06,Grade 5,001-396-391-2406
S07162,William Wilson,2018-04-19,Grade 4,001-795-543-9357x83163
S07163,David Davis,2009-12-28,Grade 1,(892)745-7918x11158
S07164,Stephen Barnett,2017-10-12,Grade 4,001-700-465-4224
S07165,Danielle Foster,2009-04-10,Grade 5,976-534-9731
S07166,lisa anthony,2012-02-21,Grade 3,295-481-5037x278
S07167,William Coffey,2006-03-14,Grade 4,273.926.4349x0765
S07168,Larry Riley,2009-01-03,Grade 3,583.336.9059x5585
S07169,jacob lee,2016-03-19,Grade 1,473.736.1718x8618
S07170,Brooke Burns,2015-07-03,Grade 5,+1-896-351-3815x6310
S07171,Kari Figueroa,2010-01-25,Grade 3,+1-539-920-8973
S07172,Ryan Caldwell,2018-06-25,Grade 4,333.345.4573x78501
S07173,Max Mills,11-11-2006,Grade 4,001-642-348-9544x47028
S07174,Joe Levine,2010-04-04,Grade 4,414-869-6577x132
S07175,Joshua Odonnell,11-23-2013,Grade 3,575-757-8565
S07176,sharon higgins,2015-02-02,Grade 5,8359643730
S07177,timothy deleon,2006-09-27,Grade 3,302.662.5753x815
S07178,ashlee morales,2018-05-08,Grade 2,(888)967-5785x006
S07179,Kenneth West,2015-04-08,Grade 1,+1-553-295-9716x754
S07180,Trevor Joseph,2008-01-04,Grade 1,402-787-5933x75600
S07181,Frank Doyle,2014-07-26,Grade 2,
S07182,charles phillips,2017-07-12,Grade 2,(877)359-1998x733
S07183,Crystal Harris,2013-02-09,Grade 1,403-314-8526x208
S07184,Misty Horn,2011-01-19,Grade 4,517-763-8089
S07185,Sydney Dixon,02-22-2008,Grade 2,463-820-5230
